,Ques,Docs
0,Relevance Q1,"ENB, LSPA, NBSARDS, ACURASYS, ROSE, ESCNBC, EDPMARDSLPMV, PVOEMVRARDS, TOF-ARDS"
1,Relevance Q2,"ETSDMV, ENB, LSPA, NBSARDS, ACURASYS, ROSE, ESCNBC, EDPMARDSLPMV, PVOEMVRARDS, TOF-ARDS"
2,Relevance Q3,"ETSDMV, ENB, NBSARDS, ROSE, ESCNBC, PVOEMVRARDS, TOF-ARDS"
3,Relevance Q4,"ETSDMV, ENB, NBSARDS, ROSE, ESCNBC, PVOEMVRARDS, TOF-ARDS"
4,Relevance Q5,"FMWSCPARDS, FACTT, PAC-in-FACTT, ARDSSRDRFMS"
5,Relevance Q6,"FMWSCPARDS, FACTT, PAC-in-FACTT, ARDSSRDRFMS"
6,Relevance Q7,"APV, ARDSNet, DLASPEEPvsARDSNET, DIHRFARDSNET"
7,Relevance Q8,"APV, ARDSNet, SPICE-III, AID-ICU, DLASPEEPvsARDSNET, DIHRFARDSNET"
8,Relevance Q9,"ETSDMV, PROSEVA, CEIIUPPSARDS, EDPMARDSLPMV, PPATDSHMA"
9,Relevance Q10,"HDDSICU, MIND-USA, OSCILLATE, SPICE-III, AID-ICU, SEDCOM"
10,Relevance Q11,"ANNANE, ADRENAL, MIND-USA, NEvsVP, HYPRESS, SPICE-III, PLMALDHSS, CORTICUS, AID-ICU, SEDCOM, APROCCHSS"
11,Relevance Q12,"ANNANE, ADRENAL, ETSDMV, DDMLSMVICP, HDDSICU, MIND-USA, NEvsVP, EDvsLSMENDS, ESDDVCIP, HYPRESS, SPICE-III, PLMALDHSS, CORTICUS, AID-ICU, SMDLTSWCI, SEDCOM, RDSCI, APROCCHSS"
12,Relevance Q13,"ANNANE, ADRENAL, HYPRESS, PLMALDHSS, CORTICUS, NEvsVP, APROCCHSS"
13,Relevance Q14,"ANNANE, ADRENAL, HYPRESS, PLMALDHSS, CORTICUS, NEvsVP, APROCCHSS"
14,Relevance Q15,"ESDDVCIP, HEAT"
15,Relevance Q16,"ESDDVCIP, SADASS, PROWESS-SHOCK, PROWESS"
16,Relevance Q17,"RUSGATICUD, FRESHS, ULS, SS3vsSS2, ALBIOS, EHPSS"
17,Relevance Q18,"SAFE, FRESHS"
18,Relevance Q19,"RUSGATICUD, ProMISe, ARISE, AID-ICU, Rivers Trial"
19,Relevance Q20,"ESDDVCIP, SADASS, PROWESS-SHOCK, PROWESS"
20,Relevance Q21,"MPOHCAUSPITHRCA, CETHACA, THvsTN, SRRCTTHNPCAP, TTM, TTM2, ITMNCA, HNPCASR, VMOCA, TCAIHCA, HACA-LA"
21,Relevance Q22,"MPOHCAUSPITHRCA, CETHACA, THvsTN, SRRCTTHNPCAP, TTM, TTM2, ITMNCA, HNPCASR, VMOCA, TCAIHCA, HACA-LA"
22,Relevance Q23,"MPOHCAUSPITHRCA, ESDDVCIP, CETHACA, THvsTN, SRRCTTHNPCAP, HACA, ITMNCA, SOPA-III, HNPCASR, VMOCA, TCAIHCA, HACA-LA"
23,Relevance Q24,"ATD, RUSGATICUD, MIND-USA, AUDDICU, AUPTICUPP, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, RDSCI, DDMLSMVICP"
24,Relevance Q25,"ATD, RUSGATICUD, MIND-USA, AUDDICU, AUPTICUPP, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, SEDCOM, RDSCI, DDMLSMVICP"
25,Relevance Q26,"ETSDMV, ATD, HDDSICU, MIND-USA, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, RUSGATICUD, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, SMDLTSWCI, RDSCI, DDMLSMVICP"
26,Relevance Q27,"ETSDMV, ATD, HDDSICU, MIND-USA, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, RUSGATICUD, AMTD, DIICU, RAEATICU, SPICE-III, AID-ICU, SMDLTSWCI, SEDCOM, RDSCI, DDMLSMVICP"
27,Relevance Q28,"ETSDMV, ATD, HDDSICU, MIND-USA, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, RUSGATICUD, AMTD, DIICU, RAEATICU, SPICE-III, SEDCOM, SMDLTSWCI, RDSCI, DDMLSMVICP"
28,Relevance Q29,"ETSDMV, ATD, HDDSICU, RUSGATICUD, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, AMTD, DIICU, RAEATICU, SPICE-III, SEDCOM, SMDLTSWCI, RDSCI, DDMLSMVICP"
29,Relevance Q30,"ETSDMV, ATD, HDDSICU, RUSGATICUD, AUDDICU, AUPTICUPP, EDvsLSMENDS, ESDDVCIP, AMTD, DIICU, RAEATICU, SPICE-III, SEDCOM, SMDLTSWCI, RDSCI, DDMLSMVICP"
30,Relevance Q31,"ESDDVCIP, ESCPARDS"
31,Relevance Q32,"ESDDVCIP, LCOTARDS"
32,Relevance Q33,"ESDDVCIP, MHNOCA"
33,Relevance Q34,BTCSCA
34,Relevance Q35,"OTCSCA, SPICE-III, HDDSICU, ESDDVCIP"
35,Relevance Q36,"ETSDMV, HDDSICU, MIND-USA, EDvsLSMENDS, ESDDVCIP, DPSMVAS, DIICU, RAEATICU, SPICE-III, SEDCOM, RDSCI, DDMLSMVICP"
